iter	RMSE
399	1222593.017
400	1221852.505
401	1220922.491
402	1220578.197
403	1218650.449
404	1217303.929
405	1216856.856
406	1216468.678
407	1215192.124
408	1214761.008
409	1213594.851
410	1211826.514
411	1211549.731
412	1210653.018
413	1208958.886
414	1208584.734
415	1206804.32
416	1205407.17
417	1204435.015
418	1202754.284
419	1201093.697
420	1199470.375
421	1198582.359
422	1197646.683
423	1195530.951
424	1194695.911
425	1194231.269
426	1193359.287
427	1192067.649
428	1191755.218
429	1191269.056
430	1190410.705
431	1189620.919
432	1189308.873
433	1187751.606
434	1186865.486
435	1186518.322
436	1186119.571
437	1185784.601
438	1184664.654
439	1184285.966
440	1183834.282
441	1182189.185
442	1181811.178
443	1180299.994
444	1179275.99
445	1179073.073
446	1177221.103
447	1176168.634
448	1174628.975
449	1173726.908
450	1172191.108
451	1171017.738
452	1170192.248
453	1169975.084
454	1169837.284
455	1168710.813
456	1168187.939
457	1167035.118
458	1164533.524
459	1162727.717
460	1161895.206
461	1161141.678
462	1158841.239
463	1157956.66
464	1157746.395
465	1156642.973
466	1155557.956
467	1154172.189
468	1153046.583
469	1151367.638
470	1151153.011
471	1150866.656
472	1150586.025
473	1148804.283
474	1148598.938
475	1147381.5
476	1146661.728
477	1146462.133
478	1145170.456
479	1144982.946
480	1144206.312
481	1143364.064
482	1141966.428
483	1141313.042
484	1141135.76
485	1140304.877
486	1139505.913
487	1139208.284
488	1139050.728
489	1138350.087
490	1137991.175
491	1137786.226
492	1137225.523
493	1137093.884
494	1136912.722
495	1136669.363
496	1136110.952
497	1134497.229
498	1134215.066
499	1134086.357
